
City	FAA	IATA	ICAO	Airport	Role	Enplanements
Branson	BBG	BKG	KBBG	Branson Airport (opened May 2009)	P-N [nb 13]	91,568
Columbia	COU	COU	KCOU	Columbia Regional Airport	P-N	38,293
Kansas City	MCI	MCI	KMCI	Kansas City International Airport	P-M	4,946,173
Springfield	SGF	SGF	KSGF	Springfield-Branson National Airport	P-S	381,172
St. Louis	STL	STL	KSTL	Lambert-St. Louis International Airport	P-M	6,044,760
MONTANA						
Billings	BIL	BIL	KBIL	Billings Logan International Airport	P-S	388,329
Bozeman	BZN	BZN	KBZN	Bozeman Yellowstone International Airport (was Gallatin Field Airport)	P-N	433,829 [1]
Butte	BTM	BTM	KBTM	Bert Mooney Airport	P-N	25,433
Great Falls	GTF	GTF	KGTF	Great Falls International Airport	P-N	155,204
Helena	HLN	HLN	KHLN	Helena Regional Airport	P-N	98,193
Kalispell	GPI	FCA	KGPI	Glacier Park International Airport	P-N	175,222
Missoula	MSO	MSO	KMSO	Missoula International Airport	P-N	289,875
NEBRASKA						
Grand Island	GRI	GRI	KGRI	Central Nebraska Regional Airport	P-N [nb 14]	37,101
Lincoln	LNK	LNK	KLNK	Lincoln Airport (was Lincoln Municipal)	P-N	143,230
Omaha	OMA	OMA	KOMA	Eppley Airfield	P-M	2,097,958
NEVADA						
Boulder City	BVU	BLD	KBVU	Boulder City Municipal Airport	P-N	169,923
Elko	EKO	EKO	KEKO	Elko Regional Airport (J.C. Harris Field)	P-N	21,863
Las Vegas	LAS	LAS	KLAS	McCarran International Airport	P-L	18,996,738
Las Vegas / North Las Vegas	VGT	VGT	KVGT	North Las Vegas Airport	P-N	64,674
Reno	RNO	RNO	KRNO	Reno/Tahoe International Airport	P-M	1,857,488
NEW HAMPSHIRE						
Manchester	MHT	MHT	KMHT	Manchester-Boston Regional Airport	P-M	1,834,875
Portsmouth	PSM	PSM	KPSM	Portsmouth International Airport at Pease	P-N	49,962
NEW JERSEY						
Atlantic City	ACY	ACY	KACY	Atlantic City International Airport	P-S	669,470
Newark	EWR	EWR	KEWR	Newark Liberty International Airport	P-L	16,571,754
NEW MEXICO						
Albuquerque	ABQ	ABQ	KABQ	Albuquerque International Sunport	P-M	2,828,420
Farmington	FMN	FMN	KFMN	Four Corners Regional Airport	P-N	13,389
Roswell	ROW	ROW	KROW	Roswell International Air Center	P-N	38,850
